slot	gl_symbol	stub_symbol
374	glMultiTexCoord4s	MultiTexCoord4s
374	glMultiTexCoord4sARB	MultiTexCoord4s
375	glMultiTexCoord4sv	MultiTexCoord4sv
375	glMultiTexCoord4svARB	MultiTexCoord4sv
0	glNewList	NewList
52	glNormal3b	Normal3b
53	glNormal3bv	Normal3bv
54	glNormal3d	Normal3d
55	glNormal3dv	Normal3dv
56	glNormal3f	Normal3f
57	glNormal3fv	Normal3fv
58	glNormal3i	Normal3i
59	glNormal3iv	Normal3iv
60	glNormal3s	Normal3s
61	glNormal3sv	Normal3sv
318	glNormalPointer	NormalPointer
296	glOrtho	Ortho
199	glPassThrough	PassThrough
251	glPixelMapfv	PixelMapfv
252	glPixelMapuiv	PixelMapuiv
253	glPixelMapusv	PixelMapusv
249	glPixelStoref	PixelStoref
250	glPixelStorei	PixelStorei
247	glPixelTransferf	PixelTransferf
248	glPixelTransferi	PixelTransferi
246	glPixelZoom	PixelZoom
173	glPointSize	PointSize
174	glPolygonMode	PolygonMode
319	glPolygonOffset	PolygonOffset
175	glPolygonStipple	PolygonStipple
218	glPopAttrib	PopAttrib
334	glPopClientAttrib	PopClientAttrib
297	glPopMatrix	PopMatrix
200	glPopName	PopName
331	glPrioritizeTextures	PrioritizeTextures
219	glPushAttrib	PushAttrib
335	glPushClientAttrib	PushClientAttrib
298	glPushMatrix	PushMatrix
201	glPushName	PushName
62	glRasterPos2d	RasterPos2d
63	glRasterPos2dv	RasterPos2dv
64	glRasterPos2f	RasterPos2f
65	glRasterPos2fv	RasterPos2fv
66	glRasterPos2i	RasterPos2i
67	glRasterPos2iv	RasterPos2iv
68	glRasterPos2s	RasterPos2s
69	glRasterPos2sv	RasterPos2sv
70	glRasterPos3d	RasterPos3d
71	glRasterPos3dv	RasterPos3dv
72	glRasterPos3f	RasterPos3f
73	glRasterPos3fv	RasterPos3fv
74	glRasterPos3i	RasterPos3i
75	glRasterPos3iv	RasterPos3iv
76	glRasterPos3s	RasterPos3s
77	glRasterPos3sv	RasterPos3sv
78	glRasterPos4d	RasterPos4d
79	glRasterPos4dv	RasterPos4dv
80	glRasterPos4f	RasterPos4f
81	glRasterPos4fv	RasterPos4fv
82	glRasterPos4i	RasterPos4i
83	glRasterPos4iv	RasterPos4iv
84	glRasterPos4s	RasterPos4s
85	glRasterPos4sv	RasterPos4sv
254	glReadBuffer	ReadBuffer
256	glReadPixels	ReadPixels
86	glRectd	Rectd
87	glRectdv	Rectdv
88	glRectf	Rectf
89	glRectfv	Rectfv
90	glRecti	Recti
91	glRectiv	Rectiv
92	glRects	Rects
93	glRectsv	Rectsv
196	glRenderMode	RenderMode
1632	glResetHistogram	ResetHistogram
1633	glResetMinmax	ResetMinmax
299	glRotated	Rotated
300	glRotatef	Rotatef
387	glSampleCoverage	SampleCoverage
301	glScaled	Scaled
302	glScalef	Scalef
176	glScissor	Scissor
195	glSelectBuffer	SelectBuffer
1623	glSeparableFilter2D	SeparableFilter2D
177	glShadeModel	ShadeModel
243	glStencilFunc	StencilFunc
209	glStencilMask	StencilMask
244	glStencilOp	StencilOp
94	glTexCoord1d	TexCoord1d
95	glTexCoord1dv	TexCoord1dv
96	glTexCoord1f	TexCoord1f
97	glTexCoord1fv	TexCoord1fv
98	glTexCoord1i	TexCoord1i
99	glTexCoord1iv	TexCoord1iv
100	glTexCoord1s	TexCoord1s
101	glTexCoord1sv	TexCoord1sv
102	glTexCoord2d	TexCoord2d
103	glTexCoord2dv	TexCoord2dv
104	glTexCoord2f	TexCoord2f
105	glTexCoord2fv	TexCoord2fv
106	glTexCoord2i	TexCoord2i
107	glTexCoord2iv	TexCoord2iv
108	glTexCoord2s	TexCoord2s
109	glTexCoord2sv	TexCoord2sv
110	glTexCoord3d	TexCoord3d
111	glTexCoord3dv	TexCoord3dv
112	glTexCoord3f	TexCoord3f
113	glTexCoord3fv	TexCoord3fv
114	glTexCoord3i	TexCoord3i
115	glTexCoord3iv	TexCoord3iv
116	glTexCoord3s	TexCoord3s
117	glTexCoord3sv	TexCoord3sv
118	glTexCoord4d	TexCoord4d
119	glTexCoord4dv	TexCoord4dv
120	glTexCoord4f	TexCoord4f
121	glTexCoord4fv	TexCoord4fv
122	glTexCoord4i	TexCoord4i
123	glTexCoord4iv	TexCoord4iv
124	glTexCoord4s	TexCoord4s
125	glTexCoord4sv	TexCoord4sv
320	glTexCoordPointer	TexCoordPointer
184	glTexEnvf	TexEnvf
185	glTexEnvfv	TexEnvfv
186	glTexEnvi	TexEnvi
187	glTexEnviv	TexEnviv
188	glTexGend	TexGend
189	glTexGendv	TexGendv
190	glTexGenf	TexGenf
191	glTexGenfv	TexGenfv
192	glTexGeni	TexGeni
193	glTexGeniv	TexGeniv
182	glTexImage1D	TexImage1D
183	glTexImage2D	TexImage2D
339	glTexImage3D	TexImage3D
178	glTexParameterf	TexParameterf
179	glTexParameterfv	TexParameterfv
180	glTexParameteri	TexParameteri
181	glTexParameteriv	TexParameteriv
332	glTexSubImage1D	TexSubImage1D
333	glTexSubImage2D	TexSubImage2D
340	glTexSubImage3D	TexSubImage3D
303	glTranslated	Translated
304	glTranslatef	Translatef
126	glVertex2d	Vertex2d
127	glVertex2dv	Vertex2dv
128	glVertex2f	Vertex2f
129	glVertex2fv	Vertex2fv
130	glVertex2i	Vertex2i
131	glVertex2iv	Vertex2iv
132	glVertex2s	Vertex2s
133	glVertex2sv	Vertex2sv
134	glVertex3d	Vertex3d
135	glVertex3dv	Vertex3dv
136	glVertex3f	Vertex3f
137	glVertex3fv	Vertex3fv
138	glVertex3i	Vertex3i
139	glVertex3iv	Vertex3iv
140	glVertex3s	Vertex3s
141	glVertex3sv	Vertex3sv
142	glVertex4d	Vertex4d
143	glVertex4dv	Vertex4dv
144	glVertex4f	Vertex4f
145	glVertex4fv	Vertex4fv
146	glVertex4i	Vertex4i
147	glVertex4iv	Vertex4iv
148	glVertex4s	Vertex4s
149	glVertex4sv	Vertex4sv
321	glVertexPointer	VertexPointer
305	glViewport	Viewport
