datatypes00015;2;SDuvan;CopyDTMethods
datatypes00016;2;SDuvan;CopyDTTriggerMethods
datatypes00017;2;SDuvan;DoDTDomainA
datatypes00018;2;SDuvan;DrawDTObject
datatypes00019;2;SDuvan;FindMethod
datatypes00020;2;SDuvan;FindToolNodeA
datatypes00021;2;SDuvan;FindTriggerMethod
datatypes00022;2;SDuvan;FreeDTMethods
datatypes00023;2;SDuvan;GetDTTriggerMethodDataFlags
datatypes00024;2;SDuvan;LockDataType
datatypes00025;2;SDuvan;ObtainDTDrawInfoA
datatypes00026;2;SDuvan;ReleaseDTDrawInfo
datatypes00027;2;SDuvan;SaveDTObjectA
datatypes00028;2;SDuvan;StartDragSelect
datatypes00029;1;SDuvan;LaunchToolA
DataType00000;0;;Implement 8svx.datatype
DataType00001;0;;Implement amigaguide.datatype
DataType00002;0;;Implement animation.datatype
DataType00003;2;stegerg;Implement ascii.datatype
DataType00004;0;;Implement ilbm.datatype
DataType00005;0;;Implement picture.datatype
DataType00006;0;;Implement sound.datatype
DataType00007;2;sebauer;Implement text.datatype
DataType00008;2;stegerg;Implement binary.datatype
DevCMD00001;0;;Write ADCMD_ALLOCATE
DevCMD00002;0;;Write ADCMD_FINISH
DevCMD00003;0;;Write ADCMD_FREE
DevCMD00004;0;;Write ADCMD_LOCK
DevCMD00005;0;;Write ADCMD_PERVOL
DevCMD00006;0;;Write ADCMD_SETPREC
DevCMD00007;0;;Write ADCMD_WAITCYCLE
DevCMD00010;0;;Write AD - CMD_CLEAR
DevCMD00011;0;;Write AD - CMD_FLUSH
DevCMD00012;0;;Write AD - CMD_READ
DevCMD00013;0;;Write AD - CMD_RESET
DevCMD00014;0;;Write AD - CMD_START
DevCMD00015;0;;Write AD - CMD_STOP
DevCMD00016;0;;Write AD - CMD_UPDATE
DevCMD00017;0;;Write AD - CMD_WRITE
DevCMD00020;0;;Write CD_ADDCHANGEINT
DevCMD00021;0;;Write CD_ADDFRAMEINT
DevCMD00022;0;;Write CD_ATTENUATE
DevCMD00023;0;;Write CD_CHANGENUM
DevCMD00024;0;;Write CD_CHANGESTATE
DevCMD00025;0;;Write CD_CONFIG
DevCMD00026;0;;Write CD_EJECT
DevCMD00027;0;;Write CD_GETGEOMETRY
DevCMD00028;0;;Write CD_INFO
DevCMD00029;0;;Write CD_MOTOR
DevCMD00030;0;;Write CD_PAUSE
DevCMD00031;0;;Write CD_PLAYLSN
DevCMD00032;0;;Write CD_PLAYMSF
DevCMD00033;0;;Write CD_PLAYTRACK
DevCMD00034;0;;Write CD_PROTSTATUS
DevCMD00035;0;;Write CD_QCODELSN
DevCMD00036;0;;Write CD_QCODEMSF
DevCMD00037;0;;Write CD_READ
DevCMD00038;0;;Write CD_READXL
DevCMD00039;0;;Write CD_REMCHANGEINT
DevCMD00040;0;;Write CD_REMFRAMEINT
DevCMD00041;0;;Write CD_SEARCH
DevCMD00042;0;;Write CD_SEEK
DevCMD00043;0;;Write CD_TOCLSN
DevCMD00044;0;;Write CD_TOCMSF
DevCMD00047;2;SDuvan;Write CBD_CHANGEHOOK
DevCMD00048;2;SDuvan;Write CBD_CURRENTREADID
DevCMD00049;2;SDuvan;Write CBD_CURRENTWRITEID
DevCMD00050;2;SDuvan;Write CBD_POST
DevCMD00051;2;SDuvan;Write CB - CMD_READ
DevCMD00052;2;SDuvan;Write CB - CMD_UPDATE
DevCMD00053;2;SDuvan;Write CB - CMD_WRITE
DevCMD00054;1;nlorentz;Write CD_ASKDEFAULTKEYMAP
DevCMD00055;1;nlorentz;Write CD_ASKKEYMAP
DevCMD00056;1;nlorentz;Write CD_SETDEFAULTKEYMAP
DevCMD00057;1;nlorentz;Write CD_SETKEYMAP
DevCMD00058;1;nlorentz;Write CSD - CMD_CLEAR
DevCMD00059;1;nlorentz;Write CSD - CMD_READ
DevCMD00060;1;nlorentz;Write CSD - CMD_WRITE
DevCMD00062;2;SDuvan;Write GPD_ASKCTYPE
DevCMD00063;2;SDuvan;Write GPD_ASKTRIGGER
DevCMD00064;2;SDuvan;Write GPD_READEVENT
DevCMD00065;1;SDuvan;Write GPD_SETCTYPE
DevCMD00066;2;SDuvan;Write GPD_SETTRIGGER
DevCMD00067;2;nlorentz;Write IND_ADDHANDLER
DevCMD00068;2;nlorentz;Write IND_REMHANDLER
DevCMD00069;0;;Write IND_SETMPORT
DevCMD00070;0;;Write IND_SETMTRIG
DevCMD00071;0;;Write IND_SETMTYPE
DevCMD00072;2;stegerg;Write IND_SETPERIOD
DevCMD00073;2;stegerg;Write IND_SETTHRESH
DevCMD00074;2;nlorentz;Write IND_WRITEEVENT
DevCMD00075;2;SDuvan;Write KBD - CMD_CLEAR
DevCMD00076;2;SDuvan;Write KBD_ADDRESETHANDLER
DevCMD00077;2;SDuvan;Write KBD_READEVENT
DevCMD00078;2;SDuvan;Write KBD_READMATRIX
DevCMD00079;2;SDuvan;Write KBD_REMRESETHANDLER
DevCMD00080;2;SDuvan;Write KBD_RESETHANDLERDONE
DevCMD00083;0;;Write NA - CMD_FLUSH
DevCMD00084;0;;Write NA - CMD_READ
